Tourist_destination,image_link,description
삼락생태공원,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA2MDVfODUg%2FMDAxNjg1OTUyNzg0MDc5.w26S_YhjWAZKjtETvPGVvm4fD7ZF4ga0aqbZdrjsnUAg.ZRF2sj77UvycZTjhk1SZ3cSv8mdB1gRjakFnPZWDZJgg.JPEG%2F20230605_152020.jpg,
부산서부사상버스터미널,https://panorama.map.naver.com/api/v2/thumbnail/21419233/0?width=800&height=400,
부산시민공원,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180119_126%2F15163234027025yz4F_JPEG%2FT45n8pkwss5iicWv5bIUJCRN.jpg,
서면시장,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_108%2F1441024767905LGgs6_JPEG%2F116351545552136_0.jpg,
전포카페거리,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODEyMjNfMzIg%2FMDAxNTQ1NTU2NDg3NTgw.fZJ5OhUZ2arw6gEuTEBDuawHAxfMIfkx5q3CFqPGVUUg.22DCKhjxVaXsIOfIhe7JAr4iWoWXWHmovO_aHenDmRsg.JPEG.myssosso%2F%25C0%25FC%25C6%25F7%25C4%25AB%25C6%25E4%25B0%25C5%25B8%25AE.jpg%231000x677,
화명생태공원,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTEwMTRfOTcg%2FMDAxNTcxMDA1ODM4NzA2.GYFmoZvhbfJnzG-0CZnill7bzxUwDrA9D-ZR4JpBHzIg.m0L_otlGO974alf7Lo1wD5BcGZxW4cUH-CkfMNjrXNwg.JPEG.tatch03%2FDSC_1976.jpg%231200x800,
해운대블루라인파크 미포정거장,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjExMDZfMTg1%2FMDAxNjY3NzQxNzI5MjYw.vyLzgPQbRqoCwJryCtN0sC-8tH6z6E2uorvML47rLGgg.sDqILJdnxoxvESu09xwM-ZebixLYO91-GH3NKslmX8Eg.JPEG.p_radn%2FIMG_4671-1.jpg,
해리단길,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA0MDFfNjQg%2FMDAxNjgwMjgwMDYxNzQ4.VuEOck33ef9dMwP7DQeKZpVQSbJBZUuKJBURZ6eODp0g.fGqtEJvxs2tZNSyBa3OekAx8KQcCC02ke24-Bgvo9okg.JPEG.sky_blue0127%2F20230329_171833.jpg,
신세계백화점 센텀시티점,https://mblogthumb-phinf.pstatic.net/20160721_226/lhkny96_1469083161624FDKGa_JPEG/9d29ec7175123747540f7351edf159f45b07c3c716b583f27c5b9177b4e43a07.jpg?type=w800,
광안리해수욕장,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_291%2F1440992293098C6Wut_JPEG%2F157155537130145_0.jpg,
민락수변공원,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_62%2F1441005477475qaRjj_JPEG%2F106875543652790_0.jpg,
유엔평화기념관,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180208_167%2F15180656339007UtSW_JPEG%2FgPcy64ZIUPmVD52q0VgOpLXv.JPG.jpg,
